Time and Date,U/S Stage,U/S Dis,D/S Stage,D/S Dis
31Dec2000 2400,22.81,115.05,22.81,115.05
01Jan2001 0600,22.62,114.8,22.62,198.1
01Jan2001 1200,22.62,114.55,22.62,107.19
01Jan2001 1800,22.62,114.31,22.62,114.56
01Jan2001 2400,22.62,114.06,22.62,114.08
02Jan2001 0600,22.62,114.25,22.62,117.53
02Jan2001 1200,22.62,114.45,22.62,117.63
02Jan2001 1800,22.62,114.64,22.61,117.83
02Jan2001 2400,22.61,114.84,22.61,118.02
03Jan2001 0600,22.61,115.92,22.61,115.76
03Jan2001 1200,22.61,117,22.61,116.96
03Jan2001 1800,22.61,118.09,22.61,118.04
03Jan2001 2400,22.61,119.17,22.61,119.12
04Jan2001 0600,22.61,117.91,22.61,117.98
04Jan2001 1200,22.61,116.64,22.61,116.7
04Jan2001 1800,22.61,115.38,22.61,115.43
04Jan2001 2400,22.61,114.12,22.61,114.17
05Jan2001 0600,22.61,112.86,22.61,116.2
05Jan2001 1200,22.61,111.59,22.61,114.84
05Jan2001 1800,22.61,110.33,22.6,113.57
05Jan2001 2400,22.6,109.07,22.6,112.31
06Jan2001 0600,22.6,107.81,22.6,107.75
06Jan2001 1200,22.6,106.54,22.6,106.59
06Jan2001 1800,22.6,105.28,22.6,105.33
06Jan2001 2400,22.6,104.02,22.6,104.07
07Jan2001 0600,22.6,104.38,22.6,104.36
07Jan2001 1200,22.6,104.75,22.6,104.74
07Jan2001 1800,22.6,105.11,22.6,105.1
07Jan2001 2400,22.6,105.48,22.6,105.47
08Jan2001 0600,22.6,104.95,22.6,108.28
08Jan2001 1200,22.6,104.43,22.59,107.64
08Jan2001 1800,22.6,103.9,22.59,107.11
08Jan2001 2400,22.59,103.38,22.59,106.59
09Jan2001 0600,22.59,103.22,22.59,103.11
09Jan2001 1200,22.59,103.05,22.59,103.06
09Jan2001 1800,22.59,102.89,22.59,102.9
09Jan2001 2400,22.59,102.73,22.59,102.74
10Jan2001 0600,22.59,102.57,22.59,102.57
10Jan2001 1200,22.59,102.4,22.59,102.41
10Jan2001 1800,22.59,102.24,22.59,102.25
10Jan2001 2400,22.59,102.08,22.59,102.09
11Jan2001 0600,22.59,102.56,22.59,105.83
11Jan2001 1200,22.59,103.03,22.58,106.2
11Jan2001 1800,22.59,103.51,22.58,106.68
11Jan2001 2400,22.58,103.98,22.58,107.16
12Jan2001 0600,22.58,104.46,22.58,104.33
12Jan2001 1200,22.58,104.93,22.58,104.92
12Jan2001 1800,22.58,105.41,22.58,105.39
12Jan2001 2400,22.58,105.89,22.58,105.87
13Jan2001 0600,22.58,106.36,22.58,106.34
13Jan2001 1200,22.58,106.84,22.58,106.82
13Jan2001 1800,22.58,107.31,22.58,107.3
13Jan2001 2400,22.58,107.79,22.58,107.77
14Jan2001 0600,22.58,107.77,22.58,110.98
14Jan2001 1200,22.58,107.75,22.58,110.84
14Jan2001 1800,22.58,107.73,22.57,110.82
14Jan2001 2400,22.57,107.71,22.57,110.8
15Jan2001 0600,22.57,103.18,22.57,103.28
15Jan2001 1200,22.57,98.65,22.57,98.81
15Jan2001 1800,22.57,94.13,22.57,94.28
15Jan2001 2400,22.57,89.6,22.57,89.75
16Jan2001 0600,22.57,90.97,22.57,90.88
16Jan2001 1200,22.57,92.34,22.57,92.3
16Jan2001 1800,22.57,93.72,22.57,93.67
16Jan2001 2400,22.57,95.09,22.57,95.04
17Jan2001 0600,22.57,94.18,22.57,97.53
17Jan2001 1200,22.57,93.27,22.57,96.5
17Jan2001 1800,22.57,92.37,22.56,95.59
17Jan2001 2400,22.56,91.46,22.56,94.68
18Jan2001 0600,22.56,92.04,22.56,91.89
18Jan2001 1200,22.56,92.62,22.56,92.6
18Jan2001 1800,22.56,93.19,22.56,93.18
18Jan2001 2400,22.56,93.77,22.56,93.75
19Jan2001 0600,22.56,94.35,22.56,94.33
19Jan2001 1200,22.56,94.93,22.56,94.91
19Jan2001 1800,22.56,95.51,22.56,95.49
19Jan2001 2400,22.56,96.09,22.56,96.07
20Jan2001 0600,22.56,96.66,22.56,99.94
20Jan2001 1200,22.56,97.24,22.56,100.41
20Jan2001 1800,22.56,97.82,22.55,100.99
20Jan2001 2400,22.55,98.4,22.55,101.57
21Jan2001 0600,22.55,97.49,22.55,97.42
21Jan2001 1200,22.55,96.59,22.55,96.62
21Jan2001 1800,22.55,95.68,22.55,95.72
21Jan2001 2400,22.55,94.78,22.55,94.81
22Jan2001 0600,22.55,94.83,22.55,98.13
22Jan2001 1200,22.55,94.88,22.54,98.07
22Jan2001 1800,22.55,94.93,22.54,98.11
22Jan2001 2400,22.54,94.98,22.54,98.17
23Jan2001 0600,22.54,93.69,22.54,93.63
23Jan2001 1200,22.54,92.4,22.54,92.45
23Jan2001 1800,22.54,91.12,22.54,91.16
23Jan2001 2400,22.54,89.83,22.54,89.87
24Jan2001 0600,22.54,89.93,22.54,89.91
24Jan2001 1200,22.54,90.02,22.54,90.02
24Jan2001 1800,22.54,90.12,22.54,90.12
24Jan2001 2400,22.54,90.22,22.54,90.22
25Jan2001 0600,22.54,89.76,22.54,93.08
25Jan2001 1200,22.54,89.3,22.53,92.5
25Jan2001 1800,22.53,88.84,22.53,92.05
25Jan2001 2400,22.53,88.38,22.53,91.59
26Jan2001 0600,22.53,87.92,22.53,87.81
26Jan2001 1200,22.53,87.46,22.53,87.48
26Jan2001 1800,22.53,87,22.53,87.01
26Jan2001 2400,22.53,86.54,22.53,86.55
27Jan2001 0600,22.53,86.08,22.53,89.31
27Jan2001 1200,22.53,85.62,22.53,88.73
27Jan2001 1800,22.52,85.16,22.52,88.27
27Jan2001 2400,22.52,84.7,22.52,87.81
28Jan2001 0600,22.52,84.65,22.52,81.31
28Jan2001 1200,22.53,84.59,22.53,81.51
28Jan2001 1800,22.53,84.54,22.53,81.45
28Jan2001 2400,22.53,84.49,22.53,81.4
29Jan2001 0600,22.53,85.82,22.53,85.88
29Jan2001 1200,22.53,87.15,22.53,87.11
29Jan2001 1800,22.53,88.48,22.53,88.44
29Jan2001 2400,22.53,89.81,22.53,89.77
30Jan2001 0600,22.53,89.46,22.53,92.69
30Jan2001 1200,22.53,89.1,22.53,92.21
30Jan2001 1800,22.52,88.75,22.52,91.86
30Jan2001 2400,22.52,88.4,22.52,91.5
31Jan2001 0600,22.52,88.42,22.52,88.3
31Jan2001 1200,22.52,88.44,22.52,88.44
31Jan2001 1800,22.52,88.46,22.52,88.46
31Jan2001 2400,22.52,88.48,22.52,88.48
01Feb2001 0600,22.52,88.3,22.52,88.31
01Feb2001 1200,22.52,88.13,22.52,88.13
01Feb2001 1800,22.52,87.95,22.52,87.96
01Feb2001 2400,22.52,87.77,22.52,87.78
02Feb2001 0600,22.52,87.6,22.52,90.91
02Feb2001 1200,22.52,87.42,22.52,90.62
02Feb2001 1800,22.51,87.24,22.51,90.44
02Feb2001 2400,22.51,87.07,22.51,90.26
03Feb2001 0600,22.51,86.89,22.51,86.78
03Feb2001 1200,22.51,86.71,22.51,86.72
03Feb2001 1800,22.51,86.54,22.51,86.54
03Feb2001 2400,22.51,86.36,22.51,86.37
04Feb2001 0600,22.51,86.37,22.51,86.37
04Feb2001 1200,22.51,86.39,22.51,86.39
04Feb2001 1800,22.51,86.4,22.51,86.4
04Feb2001 2400,22.51,86.42,22.51,86.42
05Feb2001 0600,22.51,86.05,22.51,89.37
05Feb2001 1200,22.51,85.68,22.51,88.88
05Feb2001 1800,22.5,85.31,22.5,88.51
