outflow01,outflow02,outflow03,outflow04,outflow05,outflow06,outflow07,outflow08,outflow09,outflow10
100,150,100,200,100,100,150,200,150,200
100.35,150.65,100.35,199.93,100.35,100.35,150.65,199.93,150.65,199.93
100.36,149.9,100.36,197.59,100.36,100.36,149.9,197.59,149.9,197.59
100.34,149.34,100.34,195.96,100.34,100.34,149.34,195.96,149.34,195.96
100.33,148.95,100.33,194.83,100.33,100.33,148.95,194.83,148.95,194.83
100.29,148.62,100.29,193.91,100.29,100.29,148.62,193.91,148.62,193.91
100.25,148.33,100.24,193.1,100.24,100.24,148.3,193.1,148.29,193.12
100.24,148.18,100.18,192.42,100.17,100.17,147.99,192.42,147.97,192.48
100.44,148.38,100.11,191.91,100.1,100.1,147.73,191.9,147.67,192.07
101.3,149.26,100.07,191.58,100.02,100.02,147.57,191.57,147.42,191.95
103.74,151.26,100.08,191.47,99.95,99.97,147.56,191.45,147.24,192.16
109.86,154.95,100.19,191.59,99.9,99.93,147.77,191.55,147.14,192.72
124.98,161.06,100.44,191.93,99.87,99.94,148.28,191.86,147.13,193.64
165.4,170.63,100.88,192.51,99.88,100.01,149.19,192.4,147.22,194.91
257.7,185.87,101.55,193.3,99.94,100.15,150.61,193.15,147.41,196.53
407,207.16,102.51,194.31,100.05,100.37,152.65,194.11,147.71,198.49
578.13,236.94,103.78,195.52,100.22,100.69,155.39,195.28,148.11,200.79
750.17,276.79,105.41,196.93,100.45,101.11,158.88,196.64,148.62,203.42
913.02,328.13,107.43,198.52,100.76,101.64,163.17,198.19,149.23,206.4
1061.93,389.43,109.88,200.29,101.13,102.28,168.22,199.93,149.93,209.74
1195.62,459.66,112.76,202.22,101.59,103.05,174.18,201.84,150.74,213.44
1314.55,537.76,116.1,204.3,102.12,103.93,181,203.94,151.64,217.53
1419.92,623.01,119.96,206.54,102.73,104.94,188.23,206.2,152.64,221.98
1513.15,714.55,124.28,208.91,103.43,106.06,195.9,208.64,153.73,226.81
1595.6,811.54,129.41,211.42,104.22,107.31,203.94,211.27,154.92,232.13
1668.51,913.17,134.9,214.07,105.09,108.67,212.33,214.12,156.22,237.75
1732.95,1018.77,140.69,216.85,106.05,110.13,221.29,217.21,157.62,243.6
1789.85,1127.65,146.84,219.77,107.11,111.7,231.55,220.56,159.13,249.67
1839.99,1238.08,153.31,222.82,108.27,113.38,244.24,224.21,160.75,255.94
1884.03,1346.94,160.09,226.01,109.52,115.15,260.54,228.17,162.5,262.37
1922.55,1450.87,167.2,229.33,110.87,117.03,282.54,232.6,164.35,268.94
1956.05,1547.36,174.81,232.93,112.32,119.01,313.32,237.31,166.31,275.64
1984.95,1634.93,182.82,236.58,113.86,121.07,354.53,242.3,168.4,282.49
2009.63,1713.02,190.83,240.33,115.51,123.23,408.24,247.56,170.59,289.49
2030.44,1781.64,198.96,244.18,117.27,125.47,475.23,253.05,172.93,296.84
2047.67,1841.17,207.23,248.12,119.13,128,555.05,258.74,175.51,304.34
2061.61,1892.15,215.63,252.15,121.09,130.57,646.48,264.59,178.12,312.01
2072.49,1935.19,224.17,256.24,123.14,133.18,747.64,270.55,180.81,319.91
2080.54,1970.93,232.99,260.4,125.28,135.89,856.58,276.62,183.6,328.07
2085.97,1999.94,241.89,264.6,127.69,138.7,971.56,282.74,186.48,336.48
2088.97,2022.79,250.78,268.85,130.14,141.62,1091.17,288.91,189.46,345.16
