outflow1,outflow6
68.97,68.97
69.4,67.68
69.72,67.94
69.85,67.66
69.9,67
69.89,66.04
69.87,64.97
69.83,63.92
69.78,62.97
69.72,62.11
69.66,61.26
69.59,60.38
69.5,59.46
69.41,58.5
69.3,57.73
69.18,57.31
69.05,57.22
68.9,57.28
68.74,57.3
68.56,57.26
68.37,57.16
68.18,56.97
67.96,56.72
67.75,56.5
67.52,56.33
67.29,56.1
67.06,55.75
66.82,55.35
66.58,55.03
66.35,54.9
66.11,54.87
65.87,54.8
65.63,54.73
65.39,54.73
65.15,54.81
65.07,54.88
64.9,54.88
64.73,54.85
64.54,54.84
64.36,54.86
64.17,54.91
63.98,54.98
63.79,55.02
63.61,55.01
63.42,54.95
63.23,54.95
63.05,55.03
62.87,55.09
62.69,55.11
62.52,55.13
62.35,55.2
62.18,55.38
62.01,55.68
61.85,56.06
61.69,56.45
61.54,56.78
61.39,57.12
61.25,57.54
61.11,58.03
60.97,58.57
60.84,59.09
60.72,59.49
60.61,59.84
60.5,60.39
60.4,61.45
60.3,63.1
60.22,65.3
60.14,68.1
60.07,71.69
60.01,76.27
59.96,81.91
59.93,88.63
59.91,96.61
59.92,106.06
59.95,117
60.02,129.43
60.12,143.43
60.28,159.45
60.5,177.04
60.8,196.13
61.2,216.57
61.73,237.84
62.41,260.39
63.28,283.37
64.43,305.55
66.28,326.99
69.75,348.1
73.59,368.45
78.37,387.46
84.33,405.41
91.97,421.08
102.08,434.68
113.01,444.26
125.12,450.31
139.39,453.99
154.1,455.07
169.07,452.23
184.88,446.8
200.94,440.23
216.05,431.36
230.6,420.11
244.69,405.99
257.46,392.46
268.99,378.75
279.24,361.72
288.13,344.4
295.69,328.87
301.96,313.05
306.75,296.99
310.21,280.94
312.44,264.56
313.51,251.12
313.52,239.57
312.58,227.23
310.8,213.91
308.27,201.97
305.1,191.7
301.35,181.77
297.12,170.97
292.47,162.23
287.58,155.44
282.45,148.77
277.03,142.76
271.46,137.89
265.8,132.04
260.08,126.47
254.36,122.36
248.64,120.2
242.98,117.22
237.39,114.81
231.91,113.4
226.6,111.39
221.54,108.69
216.53,105.03
211.65,102.7
206.9,101.25
202.29,100.51
197.81,99.17
193.47,96.88
189.27,95
185.2,93.21
181.25,91.49
177.44,90.16
173.74,89.27
170.27,88.25
167.01,87.65
163.73,86.88
160.54,85.87
157.46,85.38
154.47,85.63
151.58,85.9
148.78,85.79
146.09,85.09
143.51,84.01
141.02,82.79
138.64,81.44
136.34,80
134.12,78.69
131.98,77.32
129.9,75.91
127.88,74.66
125.93,73.62
124.17,72.82
122.38,72.01
120.6,71.23
118.86,70.33
117.15,69.48
115.47,68.79
113.85,68.38
